Style #,Item #,Item Description,Unit Price,MSRP,On-hand,WebDescription
096PG,096PG,Silver Fresh Water Pearl Pendant,15,39,298,"Brilliant in every way, this heart-shaped Freshwater Pearl pendant necklace is set in Silver."
1186SE01,1186SE01,Silver Fresh Water Pearl Earrings,15,39,212,"Handcrafted in precious Silver, these drop earrings each feature a lustrous Freshwater Pearl and Silver fringe. The earrings are secured comfortably with friction backs."
1186SN01,1186SN01,Silver Fresh Water Pearl Necklace,25,69,237,"Brilliant in every way, this tassel pendant necklace features a rich Freshwater Pearl set in Silver with metallic fringe accents."
1209NWOP,1209NWOP,"Silver Fresh Water Pearl Necklace 22""",35,89,142,"Brilliant in every way, this pendant necklace features an array of rich Freshwater Pearls set in Silver."
130E06WOP,130E06WOP,Silver Fresh Water Pearl Earrings,20,49,323,"Handcrafted in precious Silver, these fringe drop earrings each feature three dazzling Freshwater Pearls. The earrings are secured comfortably with friction backs."
1.33E+03,1.33E+03,Silver Fresh Water Pearls Earrings,20,49,206,"Brilliant in every way, this  Freshwater Pearl Earrings  is fashioned in Silver. Features 8 CZ stones leading to a beautiful Freshwater Pearl."
142PW,142PW,Silver Fresh Water Pearl Pendant,15,39,180,"Brilliant in every way, this heart-shaped pendant necklace is fashioned in Silver and set with a single Freshwater Pearl."
253P01,253P01,Silver Fresh Water Pearl Pendant,20,49,196,"Brilliant in every way, this  Freshwater Pearl pendant necklace is fashioned in Silver. Features 3 CZ stones leading to a beautiful Freshwater Pearl."
3C355AW,3C355AW,14K Diamond 3 Stone Ring 1/4 ctw,525,1049,2,This Three Stone ring is crafted with 3 round diamonds to dazzle those around you. The ring is fashioned out of 14K White Gold. Total diamond weight is 1/4 ctw. Diamond clarity is SI3.
3C355BW,3C355BW,14K Diamond 3 Stone Ring 1/4 ctw,450,1129,1,This Three Stone ring is crafted with 3 round diamonds to dazzle those around you. The ring is fashioned out of 14K White Gold. Total diamond weight is 1/4 ctw. Diamond clarity is I1.
3C356BW,3C356BW,14K Diamond 3 Stone Ring 1/2 ctw,750,1879,1,This Three Stone ring is crafted with 3 round diamonds to dazzle those around you. The ring is fashioned out of 14K White Gold. Total diamond weight is 1/2 ctw. Diamond clarity is I1.
3C357AW,3C357AW,14K Diamond 3 Stone Ring 3/4 ctw,1200,2999,1,This Three Stone ring is crafted with 3 round diamonds to dazzle those around you. The ring is fashioned out of 14K White Gold. Total diamond weight is 3/4 ctw. Diamond clarity is SI3.
747SB01,747SB01,Silver Smoky Quartz F.W. Pearl Bracelet,30,60,43,A colorful Silver bracelet adorned with Freshwater pearls and Smoky Quartz gemstones.
747SE01,747SE01,Silver Smoky Quartz F.W. Pearl Earring,20,40,30.5,A colorful pair of Silver drop earrings adorned with Freshwater pearls and Smoky Quartz gemstones.
747SN01,747SN01,Silver Smoky Quartz F.W. Pearl Necklace,50,100,61,A colorful Silver necklace adorned with Freshwater pearls and Smoky Quartz gemstones.
AMS1001,AMS1001,Steel Cross,20,49,140,This simple steel cross pendant features a black cross inlay.
AMS1075,AMS1075,Steel Cross,20,49,194,"Two steel crosses, one featuring an inscription, highlight this powerful pendant necklace."
AMS1095,AMS1095,Steel and 18K Inlay Diamond Cross,60,149,25,This steel and 18K gold cross pendant is set with a single round-cut diamond.
AMS1096,AMS1096,Steel and 18K Inlay Diamond Pendant,45,109,39,This steel and 18K gold pendant is set with a single round-cut diamond.
AMS1097,AMS1097,Steel & Blues Resin Bracelet,32,79,1,A link bracelet crafted out of steel and blue resin.
AMS1098,AMS1098,Steel Black Diamond Bracelet 3/8 ctw,150,379,13,"This steel bracelet is set with a black diamond inlay, totaling 3/8 ctw."
AMS1099,AMS1099,Steel and 18K Inlay Diamond Cufflink,60,129,6,"A pair of steel and 18K Yellow Gold cufflinks, each set with single round-cut diamond."
AMS1100,AMS1100,Steel and 18K Inlay Diamond Cuff,90,229,6,"This steel cuff features an 18K Yellow Gold inlay and 2 diamonds, totaling 0.05 ctw."
AMS1101,AMS1101,Steel and 18K Inlay Diamond Bracelet 1/5 ctw,180,449,17,A steel and 18K Gold bracelet with round-cut diamonds totaling 1/5 ctw.
AMS1102,AMS1102,Steel and 18K Inlay Bracelet,60,149,4,This steel and 18K Yellow Gold link bracelet is an elegant addition to any collection.
AMS1103,AMS1103,Steel and Black Leather Diamond Bracelet 1/10 ctw,70,179,4,This steel bracelet is highlighted by eye-catching black diamonds totaling 1/10 ctw.
AMS1104,AMS1104,Tungsten Diamond Bracelet 1/10 ctw,115,289,16,This link bracelet is crafted out of Tungsten and is set with 3 diamonds weighing 1/10 ctw.
BC10004,BC10004-SS,Silver Bracelet,200,500,36,This classic bracelet is a versatile addition to any wardrobe and is crafted from Silver.
BC10005,BC10005-4WPD,14K Diamond Bracelet 1/5 ctw,350,0,10,"This classic bracelet, set with 1/5 ctw of round-cut diamonds, is a versatile addition to any wardrobe and is crafted from 14K Rose Gold."
BC10006,BC10006-4PDB,14KP Dark brown Diamond Bracelet 1 ctw,1000,2500,1,This fashionable 14K White Gold Diamond Bracelet is set with 1 ctw of round-cut diamonds.
BC10006,BC10006-4WC,14K Diamond Bracelet 1 ctw,1000,2500,6,This fashionable 14K White Gold Diamond Bracelet is set with 1 ctw of round-cut diamonds.
BC10007,BC10007-4WC,14K Diamond Bracelet 2 ctw,1500,3750,2,This timeless diamond bracelet is crafted from 14K white gold and features 2 ctw of round-cut diamonds.
BC10008,BC10008-4WC,14K Diamond Bracelet 3 ctw,2500,0,6,This timeless diamond bracelet is crafted from 14K white gold and features 3 ctw of round-cut diamonds.
BC10009,BC10009-4WSC,14K Diamond Bracelet 1/4 ctw,400,0,2,This timeless diamond bracelet is crafted from 14K white gold and features 1/4 ctw of round-cut diamonds.
BC10010,BC10010-4WSC,14K Diamond Bracelet 1/3 ctw,500,1250,3,This 14K White Gold Diamond bracelet is set with 1/3 ctw of round cut dimonds.
BC10011,BC10011-4WC,14K Diamond Bracelet 1/2 ctw,750,1875,14,This 14K White Gold Diamond bracelet is set with 1/2 ctw of round cut dimonds.
BC10012,BC10012-1WD,10KW  Diamond Bracelet 1/4 ctw,400,0,26,This 14K White Gold Diamond bracelet is set with 1/4 ctw of round cut dimonds.
BC10013,BC10013-1PD,10KP Gold Diamond Bracelet 1/4 ctw,400,0,20,This Rose Gold Diamond bracelet is set with 1/4 ctw of round cut dimonds.
BC10014,BC10014-1YD,10KY Diamond Bracelet 1/4 ctw,400,0,35,This Yellow Gold Diamond bracelet is set with 1/4 ctw of round cut dimonds.
BC10015,BC10015-STL,Tungsten Bracelet,50,125,95,This Yellow Gold Diamond bracelet is set with 1/4 ctw of round cut dimonds.
BC10016,BC10016-STL,Tungsten Diamond Bracelet,80,200,102,This simple bracelet is crafted from Tungsten and features and intricate textured design.
BC10017,BC10017-STL,Steel Diamond Bracelet,52,130,82,This simple bracelet is crafted from Steel and features and intricate textured design set with round-cut diamonds.
BC10018,BC10018-STL,Tungsten Bracelet,40,0,87,This simple bracelet is crafted from Tungsten and features and intricate textured design set with round-cut diamonds.
BD63445,BD63445-4WB,14K Diamond Band 1/2 ctw,700,1400,1,"Start your new life together with this elegant wedding band. Crafted in 14 karat gold , this classic band features 17 sparkling diamonds. Total diamond weight is 1/2 ctw."
BG10000,BG10000-SS,Silver Bangle,100,250,7,A delicate Silver Bangle featuring two opposing Silver tips.
BLPC6025,BLPC6025,10KW Blue P/Cut Diamond Studs 1/4 ctw,100,249,21.5,"Add simplicity to your style with these striking Princess Cut, Blue Diamond stud earrings. Crafted in 10K polished White Gold, these sparkling stud earrings are set with two perfectly matched Princess Cut Blue diamonds. Total diamond weight is 1/4 ctw."
BLPC6050,BLPC6050,10KW Blue P/Cut Diamond Studs 1/2 ctw,250,499,34,"Add simplicity to your style with these striking Princess Cut, Blue Diamond stud earrings. Crafted in 10K polished White Gold, these sparkling stud earrings are set with two perfectly matched Princess Cut Blue diamonds. Total diamond weight is 1/2 ctw."
BLPC6100,BLPC6100,10KW Blue P/Cut Diamond Studs 1 ctw,700,1399,33,"Add simplicity to your style with these striking Princess Cut, Blue Diamond stud earrings. Crafted in 10K polished White Gold, these sparkling stud earrings are set with two perfectly matched Princess Cut Blue diamonds. Total diamond weight is 1 ctw."
BLSE6025,BLSE6025,10KW Blue Diamond Studs 1/4 ctw,100,249,2,"Add simplicity to your style with these striking Diamond stud earrings. Crafted in 10K polished White Gold, these sparkling stud earrings are set with two perfectly matched Round Cut Blue diamonds. Total diamond weight is 0.25 ctw."
BLSE6050,BLSE6050,10KW Blue Diamond Studs 1/2 ctw,250,629,8,"Add simplicity to your style with these striking Diamond stud earrings. Crafted in 10K polished White Gold, these sparkling stud earrings are set with two perfectly matched Round Cut Blue diamonds. Total diamond weight is 0.50 ctw."
BLSE6100,BLSE6100,10KW Blue Diamond Studs 1 ctw,700,1749,43.5,"Add simplicity to your style with these striking Diamond stud earrings. Crafted in 10K polished White Gold, these sparkling stud earrings are set with two perfectly matched Round Cut Blue diamonds. Total diamond weight is 1 ctw."
BP10021,BP10021,Silver Diamond Soul Mate Pendant,100,200,11,A playful cut-out Silver Heart pendant set.
BP10109/10125,BP10109/10125,Silver Diamond Soul Mate Pendant,100,200,19,A playful cut-out Silver Girl pendant set.
BP10110/10125,BP10110/10125,Silver Diamond Pendant,100,200,31,A playful cut-out Silver Boy pendant set.
BPC6050,BPC6050,10KW Black P/Cut Diamond Studs 1/2 ctw,100,249,45,"Add simplicity to your style with these striking Princess Cut, Black Diamond stud earrings. Crafted in 10K polished White Gold, these sparkling stud earrings are set with two perfectly matched Princess Cut Black diamonds. Total diamond weight is 1/2 ctw."
BPC6100,BPC6100,10KW Black P/Cut Diamond Studs 1 ctw,175,439,21,"Add simplicity to your style with these striking Princess Cut, Black Diamond stud earrings. Crafted in 10K polished White Gold, these sparkling stud earrings are set with two perfectly matched Princess Cut Black diamonds. Total diamond weight is 1 ctw."
BPC6200,BPC6200,10KW Black P/Cut Diamond Studs 2 ctw,350,699,27,"Add simplicity to your style with these striking Princess Cut, Black Diamond stud earrings. Crafted in 10K polished White Gold, these sparkling stud earrings are set with two perfectly matched Princess Cut Black diamonds. Total diamond weight is 2 ctw."
BSE6050,BSE6050,10KW Black Diamond Studs 1/2 ctw,75,189,4,"Add simplicity to your style with these striking Black Diamond stud earrings. Crafted in 10K polished White Gold, these sparkling stud earrings are set with two perfectly matched Round Cut Black diamonds. Total diamond weight is 1/2 ctw."
BSE6070,BSE6070,10KW Black Diamond Studs 3/4 ctw,120,299,15.5,"Add simplicity to your style with these striking Black Diamond stud earrings. Crafted in 10K polished White Gold, these sparkling stud earrings are set with two perfectly matched Round Cut Black diamonds. Total diamond weight is 3/4 ctw."
BSE6100,BSE6100,10KW Black Diamond Studs 1 ctw,150,299,5,"Add simplicity to your style with these striking Black Diamond stud earrings. Crafted in 10K polished White Gold, these sparkling stud earrings are set with two perfectly matched Round Cut Black diamonds. Total diamond weight is 1 ctw."
BSE6140,BSE6140,10KW Black Diamond Studs 1 1/2 ctw,200,499,6.5,"Add simplicity to your style with these striking Black Diamond stud earrings. Crafted in 10K polished White Gold, these sparkling stud earrings are set with two perfectly matched Round Cut Black diamonds. Total diamond weight is 1 1/2 ctw."
BSE6200,BSE6200,10KW Black Diamond Studs 2 ctw,350,699,23,"Add simplicity to your style with these striking Black Diamond stud earrings. Crafted in 10K polished White Gold, these sparkling stud earrings are set with two perfectly matched Round Cut Black diamonds. Total diamond weight is 2 ctw."
CT0700,CT07700,14KW only mircle plate,12,23.988,25,"Crafted in precious 14K White  Gold, these stud earrings are each set with 17 sparkling, round-cut diamonds. Total diamond weight is 1 ctw."
CT07703,CT07703,14KW only mircle plate,10,19.98,100,"A classic round Diamond pendant crafted from 14K gold and set with 17 round-cut diamonds, weighing 1/2 ctw."
CT07704,CT07704,14KW only mircle plate,10,19.99,50,"Crafted in precious 14K White  Gold, these stud earrings are each set with 17 sparkling, round-cut diamonds. Total diamond weight is 1 ctw."
CT07707,CT07707,14KW Only Mircle Plate,6.5,12.9935,100,"Crafted in precious 14K White  Gold, these stud earrings are each set with 17 sparkling, round-cut diamonds. Total diamond weight is 1 ctw."
CZ5961W,CZ5961W,Silver CZ Sample,25,62.9,1,"Start your new life together with this elegant wedding band. Crafted in Start your new life together with this elegant wedding band. Crafted in 14 karat gold , this classic band features 13 sparkling diamonds. Total diamond weight is 0. 07 ctw."
CZ5966W,CZ5966W,Silver CZ Sample,25,50,1,"Start your new life together with this elegant wedding band. Crafted in 14 karat gold , this classic band features 29 sparkling diamonds. Total diamond weight is 1/7 ctw."
DBSE6025R,DBSE6025R,10K Brown Diamond Studs 1/4 ctw,100,249,2,"Add simplicity to your style with these striking Brown Diamond stud earrings. Crafted in 10K polished Rose Gold, these sparkling stud earrings are set with two perfectly matched Round Cut Brown diamonds. Total diamond weight is 1/4 ctw."
DBSE6050R,DBSE6050R,10K Brown Diamond Studs 1/2 ctw,250,629,3.5,"Add simplicity to your style with these striking Brown Diamond stud earrings. Crafted in 10K polished Rose Gold, these sparkling stud earrings are set with two perfectly matched Round Cut Brown diamonds. Total diamond weight is 1/2 ctw."
DBSE6100R,DBSE6100R,10K Brown Diamond Studs 1 ctw,700,1749,38,"Add simplicity to your style with these striking Blue Diamond stud earrings. Crafted in 10K polished Rose Gold, these sparkling stud earrings are set with two perfectly matched Round Cut Blue diamonds. Total diamond weight is 1 ctw."
DN25BW,DN25BW,14K D.B.T.Y. Necklace 1/4 ctw,300,600,38,"This 14K Diamonds By the Yard necklace is set with 10 round-cut diamonds, weighing 1/4 ctw."
DN40BW,DN40BW,14K D.B.T.Y. Necklace 3/8 ctw,500,1000,14,"This 14K Diamonds By the Yard necklace is set with 10 round-cut diamonds, weighing 3/8 ctw."
EAO53WB,EAO53WB,14K Aquamarine Studs 5x3 Oval,65,128.7,8.5,"Add simplicity to your style with these striking Aquamarine stud earrings. Crafted in 14K polished White Gold, these sparkling stud earrings are set with two perfectly matched Oval Cut Aquamarines. Each Aquamarine stone measures 5x3 mm."
EAO64WB,EAO64WB,14K Aquamarine Studs 6x4 Oval,125,319,2,"Add simplicity to your style with these striking Aquamarine stud earrings. Crafted in 14K polished White Gold, these sparkling stud earrings are set with two perfectly matched Oval Cut Aquamarines. Each Aquamarine stone measures 6x4 mm."
EAR30WB,EAR30WB,14K Aquamarine Studs 3 mm Rd,50,129,1,"Add simplicity to your style with these striking Aquamarine stud earrings. Crafted in 14K polished White Gold, these sparkling stud earrings are set with two perfectly matched Round Cut Aquamarines. Each Aquamarine stone measures 3 mm."
EAR40WB,EAR40WB,14K Aquamarine Studs 4 mm Rd,80,199,2,"Add simplicity to your style with these striking Aquamarine stud earrings. Crafted in 14K polished White Gold, these sparkling stud earrings are set with two perfectly matched Round Cut Aquamarines. Each Aquamarine stone measures 4 mm."
EBO53WB,EBO53WB,14K Blue Topaz Studs 5x3 Oval,50,129,10,"Add simplicity to your style with these striking Blue Topaz stud earrings. Crafted in 14K polished White Gold, these sparkling stud earrings are set with two perfectly matched Oval Cut Blue Topaz gemstones. Each stone measures 5x3 mm."
EBO64WB,EBO64WB,14K Blue Topaz Studs 6x4 Oval,75,189,2.5,"Add simplicity to your style with these striking Blue Topaz stud earrings. Crafted in 14K polished White Gold, these sparkling stud earrings are set with two perfectly matched Oval Cut Blue Topaz gemstones. Each stone measures 6x4 mm."
EBR40WB,EBR40WB,14K Blue Topaz Studs 4 mm Rd,60,149,4,"Add simplicity to your style with these striking Blue Topaz stud earrings. Crafted in 14K polished White Gold, these sparkling stud earrings are set with two perfectly matched Round Cut Blue Topaz gemstones. Each stone measures 4 mm."
ECO53WB,ECO53WB,14K Citrine Studs 5x3 Oval,50,129,21,"Add simplicity to your style with these striking Citrine stud earrings. Crafted in 14K polished White Gold, these sparkling stud earrings are set with two perfectly matched Oval Cut Citrine gemstones. Each stone measures 5x3 mm."
ECO64WB,ECO64WB,14K Citrine Studs 6x4 Oval,75,189,19,"Add simplicity to your style with these striking Citrine stud earrings. Crafted in 14K polished White Gold, these sparkling stud earrings are set with two perfectly matched Oval Cut Citrine gemstones. Each stone measures 6x4 mm."
ECR30WB,ECR30WB,14K Citrine Studs 3mm Rd,50,129,2,"Add simplicity to your style with these striking Citrine stud earrings. Crafted in 14K polished White Gold, these sparkling stud earrings are set with two perfectly matched Round Cut Citrine gemstones. Each stone measures 3 mm."
ECR40WB,ECR40WB,14K Citrine Studs 4 mm Rd,60,149,9,"Add simplicity to your style with these striking Citrine stud earrings. Crafted in 14K polished White Gold, these sparkling stud earrings are set with two perfectly matched Round Cut Citrine gemstones. Each stone measures 4 mm."
EDO53WB,EDO53WB,14K Peridot Studs 5x3 Oval,50,129,16,"Add simplicity to your style with these striking Peridot stud earrings. Crafted in 14K polished White Gold, these sparkling stud earrings are set with two perfectly matched Oval Cut Peridot gemstones. Each stone measures 5x3 mm."
EDO64WB,EDO64WB,14K Peridot Studs 6x4 Oval,75,189,2,"Add simplicity to your style with these striking Peridot stud earrings. Crafted in 14K polished White Gold, these sparkling stud earrings are set with two perfectly matched Oval Cut Peridot gemstones. Each stone measures 6x4 mm."
EDR30WB,EDR30WB,14K Peridot Studs 3 mm Rd,50,129,1,"Add simplicity to your style with these striking Peridot stud earrings. Crafted in 14K polished White Gold, these sparkling stud earrings are set with two perfectly matched Round Cut Peridot gemstones. Each stone measures 3 mm."
EDR40WB,EDR40WB,14K Peridot Studs 4 mm Rd,60,149,3,"Add simplicity to your style with these striking Peridot stud earrings. Crafted in 14K polished White Gold, these sparkling stud earrings are set with two perfectly matched Round Cut Peridot gemstones. Each stone measures 4 mm."
EEO53WB,EEO53WB,14K Emerald Studs 5X3 Oval,125,319,12,"Add simplicity to your style with these striking Emerald stud earrings. Crafted in 14K polished White Gold, these sparkling stud earrings are set with two perfectly matched Oval Cut Emerald gemstones. Each stone measures 5x3 mm."
EEO64WB,EEO64WB,14K Emerald Studs 6x4 Oval,300,749,14,"Add simplicity to your style with these striking Emerald stud earrings. Crafted in 14K polished White Gold, these sparkling stud earrings are set with two perfectly matched Oval Cut Emerald gemstones. Each stone measures 6x4 mm."
EER30WB,EER30WB,14K Emerald Studs 3 mm Rd,80,199,1,"Add simplicity to your style with these striking Emerald stud earrings. Crafted in 14K polished White Gold, these sparkling stud earrings are set with two perfectly matched Round Cut Emerald gemstones. Each stone measures 3 mm."
EGO53WB,EGO53WB,14K Garnet Studs 5x3 Oval,50,129,28,"Add simplicity to your style with these striking Garnet stud earrings. Crafted in 14K polished White Gold, these sparkling stud earrings are set with two perfectly matched Oval Cut Garnet gemstones. Each stone measures 5x3 mm."
EGR40WB,EGR40WB,14K Garnet Studs 4 mm Rd,60,149,4,"Add simplicity to your style with these striking Garnet stud earrings. Crafted in 14K polished White Gold, these sparkling stud earrings are set with two perfectly matched Round Cut Garnet gemstones. Each stone measures 4 mm."
EJC1001,EJC1001,14K Diamond Earrings Cushion Jacket 1/7 ctw (for 1/4 ctw Studs),200,499,10,These gorgeous 14K White Gold Cushion shaped earring jackets are embellished with diamond accents weighing 1/7 ctw. The jackets can be used for a pair of 1/4 ctw studs.
EJC1002,EJC1002,14K Diamond Cushion Jacket 1/5 ctw (for 1/2 ctw Studs),225,569,12,These gorgeous 14K White Gold Cushion shaped earring jackets are embellished with diamond accents weighing 1/5 ctw. The jackets can be used for a pair of 1/2 ctw studs.
EJC1003,EJC1003,14K Diamond Cushion Jacket 1/5 ctw (for 3/4 ctw Studs),225,569,22,These gorgeous 14K White Gold Cushion shaped earring jackets are embellished with diamond accents weighing 1/5 ctw. The jackets can be used for a pair of 3/4 ctw studs.
EJC1004,EJC1004,14K Diamond Earrings Cushion Jacket 1/4 ctw (for 1 ctw Studs),300,749,13,These gorgeous 14K White Gold Cushion shaped earring jackets are embellished with diamond accents weighing 1/4 ctw. The jackets can be used for a pair of 1 ctw studs.
EJC1005,EJC1005,14K Diamond Cushion Jacket 1/4 ctw (for 1 1/2 ctw Studs),300,749,18.5,These gorgeous 14K White Gold Cushion shaped earring jackets are embellished with diamond accents weighing 1/4 ctw. The jackets can be used for a pair of 1 1/2 ctw studs.
EJC1006,EJC1006,14K Diamond Earrings Cushion Jacket 1/3 ctw (for 2 ctw Studs),400,999,20,These gorgeous 14K White Gold Cushion shaped earring jackets are embellished with diamond accents weighing 1/3 ctw. The jackets can be used for a pair of 2 ctw studs.
EJR1001,EJR1001,14K Diamond Earrings Round Jacket 1/7 ctw (for 1/4 ctw Studs),200,499,17.5,These gorgeous 14K White Gold Round shaped earring jackets are embellished with diamond accents weighing 1/7 ctw. The jackets can be used for a pair of 1/4 ctw studs.
EJR1002,EJR1002,14K Diamond Earrings Round Jacket 1/5 ctw (for 1/2 ctw Studs),225,569,11,These gorgeous 14K White Gold Round shaped earring jackets are embellished with diamond accents weighing 1/5 ctw. The jackets can be used for a pair of 1/2 ctw studs.
EJR1003,EJR1003,14K Diamond Round Jacket 1/5 ctw (for 3/4 ctw Studs),225,569,3.5,These gorgeous 14K White Gold Round shaped earring jackets are embellished with diamond accents weighing 1/5 ctw. The jackets can be used for a pair of 3/4 ctw studs.
EJR1004,EJR1004,14K Diamond Round Jacket 1/4 ctw (for 1 ctw Studs),300,749,2,These gorgeous 14K White Gold Round shaped earring jackets are embellished with diamond accents weighing 1/4 ctw. The jackets can be used for a pair of 1 ctw studs.
EJR1005,EJR1005,14K Diamond Earrings Round Jacket 1/4 ctw (for 1 1/2 ctw Studs),300,749,11,These gorgeous 14K White Gold Round shaped earring jackets are embellished with diamond accents weighing 1/4 ctw. The jackets can be used for a pair of 1 1/2 ctw studs.
EJR1006,EJR1006,14K Diamond Earrings Round Jacket 1/3 ctw (for 2 ctw Studs),400,999,14,These gorgeous 14K White Gold Round shaped earring jackets are embellished with diamond accents weighing 1/3 ctw. The jackets can be used for a pair of 2 ctw studs.
EMO53WB,EMO53WB,14K Amethyst Studs 5x3 Oval,50,129,4.5,"Add simplicity to your style with these striking Amethyst stud earrings. Crafted in 14K polished White Gold, these sparkling stud earrings are set with two perfectly matched Oval Cut Amethysts. Each stone measures 5x3 mm."
EMO64WB,EMO64WB,14K Amethyst Studs 6x4 Oval,75,189,3,"Add simplicity to your style with these striking Amethyst stud earrings. Crafted in 14K polished White Gold, these sparkling stud earrings are set with two perfectly matched Oval Cut Amethysts. Each stone measures 6x4 mm."
EMR40WB,EMR40WB,14K Amethyst Studs 4 mm Rd,60,149,1,"Add simplicity to your style with these striking Amethyst stud earrings. Crafted in 14K polished White Gold, these sparkling stud earrings are set with two perfectly matched Round Cut Amethyst gemstones. Each stone measures 4 mm."
EPO53WB,EPO53WB,14K Pink Sapphire Studs 5x3 mm Oval,125,319,47,"Add simplicity to your style with these striking Pink Sapphire stud earrings. Crafted in 14K polished White Gold, these sparkling stud earrings are set with two perfectly matched Oval Cut Pink Sapphires. Each stone measures 5x3 mm."
EPO64WB,EPO64WB,14K Pink Sapphire Studs 6x4 mm Oval,225,569,14,"Add simplicity to your style with these striking Pink Sapphire stud earrings. Crafted in 14K polished White Gold, these sparkling stud earrings are set with two perfectly matched Oval Cut Pink Sapphires. Each stone measures 6x4 mm."
EPR30WB,EPR30WB,14K Pink Sapphire Studs 3 mm Rd,75,189,6,"Add simplicity to your style with these striking Pink Sapphire stud earrings. Crafted in 14K polished White Gold, these sparkling stud earrings are set with two perfectly matched Round Cut Pink Sapphire gemstones. Each stone measures 3 mm."
EPR40WB,EPR40WB,14K Pink Sapphire Studs 4 mm Rd,175,348.8333,5,"Add simplicity to your style with these striking Pink Sapphire stud earrings. Crafted in 14K polished White Gold, these sparkling stud earrings are set with two perfectly matched Round Cut Pink Sapphire gemstones. Each stone measures 4 mm."
EPTR30WB,EPTR30WB,14K Pink Tourmaline Studs 3 mm Rd,50,129,4,"Add simplicity to your style with these striking Pink Tourmaline stud earrings. Crafted in 14K polished White Gold, these sparkling stud earrings are set with two perfectly matched Round Cut Pink Tourmaline gemstones. Each Pink Tourmaline stone measures 3"
EPTR40WB,EPTR40WB,14K Pink Tourmaline Studs 4 mm Rd,80,199,5,"Add simplicity to your style with these striking Pink Tourmaline stud earrings. Crafted in 14K polished White Gold, these sparkling stud earrings are set with two perfectly matched Round Cut Pink Tourmaline gemstones. Each Pink Tourmaline stone measures 4"
ER01351,ER01351-4WSC,14KW Diamond Earrings 1/3 ctw,350,879,4,"These intricate 14K White Gold drop earrings are set with 114 single-cut diamonds, totaling 1/3 ctw."
ER01372,ER01372-4WSC,14KW Diamond Earrings 1/3 ctw,300,0,5,These gorgeous drop earrings are crafted from 14K Gold and studded with 49 single-cut diamonds each for added sparkle. Total diamond weight is 1/4 ctw.
ER10003,ER10003-4WB,14KW Diamond UNO Earrings 1/2 ctw,500,0,11,A lovely pair of 14K White Gold Teardrop UNO Diamond earrings set with 1/2 ctw of round cut diamonds.
ER10008,ER10008-4WB,14KW Diamond UNO Earrings 1/2 ctw,500,0,1,"These 14K White Gold cushion shaped, dangling drop UNO earrings are studded with 36 round-cut diamonds each. Total diamond weight is 1/2 ctw."
ER10011,ER10011-4WB,14KW Diamond  UNO Earrings 1/2 ctw,500,1252.6667,5,"Adorned with 58 round-cut diamonds each, these drop earrings are crafted from 14K White Gold. Total diamond weight is 1/2 ctw."
ER10015,ER10015-4Y,14KY Drop Earrings,300,750,1,These silver drop earrings are each set with a single white freshwater pearl and fish hook closures for added security.
ER10015,ER10015-SS,Silver Earrings,50,125,258,These silver drop earrings are each set with a single white freshwater pearl and fish hook closures for added security.
ER10018,ER10018-4WSC,14K Diamond Earrings,150,0,27,These simple 14K White Gold diamond stud earrings feature sparkling round-cut diamonds set on a square 14K White Gold frame. Comes with screw-back earring backs for added safety.
ER10018,ER10018-4PSC,14KR Diamond Earrings,150,0,25,These simple 14K Rose Gold diamond stud earrings feature sparkling round-cut diamonds set on a square 14K Yellow Gold frame. Comes with screw-back earring backs for added safety.
ER10018,ER10018-4YSC,14KY Diamond Earrings,150,0,10,These simple 14K Yellow Gold diamond stud earrings feature sparkling round-cut diamonds set on a square 14K Rose Gold frame. Comes with screw-back earring backs for added safety.
ER10019,ER10019-4WSC,14K Diamond Earrings,150,0,12,These simple 14K White Gold diamond stud earrings feature sparkling round-cut diamonds set on a teardrop 14K Rose Gold frame. Comes with screw-back earring backs for added safety.
ER10019,ER10019-4YSC,14KY Diamond Earrings,150,0,18,These simple 14K Yellow Gold diamond stud earrings feature sparkling round-cut diamonds set on a teardrop 14K Yellow Gold frame. Comes with screw-back earring backs for added safety.
ER10019,ER10019-4PSC,14KR Diamond Earrings,150,0,26,These simple 14K Rose Gold diamond stud earrings feature sparkling round-cut diamonds set on a teardrop 14K White Gold frame. Comes with screw-back earring backs for added safety.
ER10020,ER10020-4YSC,14KY Diamond Earrings,150,0,14,These simple 14K Yellow Gold diamond cut-out stud earrings feature sparkling round-cut diamonds set on a heart shaped 14K Yellow Gold frame. Comes with screw-back earring backs for added safety.
ER10020,ER10020-4PSC,14KR Diamond Earrings,150,0,43,These simple 14K Rose Gold diamond cut-out stud earrings feature sparkling round-cut diamonds set on a heart shaped 14K Rose Gold frame. Comes with screw-back earring backs for added safety.
ER10020,ER10020-4WSC,14K Diamond Earrings,150,0,11,These simple 14K White Gold diamond cut-out stud earrings feature sparkling round-cut diamonds set on a heart shaped 14K White Gold frame. Comes with screw-back earring backs for added safety.
ER10021,ER10021-4PSC,14KR Diamond Earrings,150,0,15,These simple14K Rose Gold Rectangular diamond cut-out stud earrings feature sparkling round-cut diamonds set on a rectangular 14K Rose Gold frame. Comes with screw-back earring backs for added safety.
ER10021,ER10021-4WSC,14K Diamond Earrings,150,0,25,These simple 14K White Gold Rectangular diamond cut-out stud earrings feature sparkling round-cut diamonds set on a rectangular 14K White Gold frame. Comes with screw-back earring backs for added safety.
