Style #,Item #,Item Description,Unit Price,MSRP,On-hand,WebDescription
FP1356DB,FP1356DB,Silver Brown Diamond Arrow Pendant 1/3 ctw,100,249,98,This simple Silver arrow pendant is set with 52 round-cut Brown Diamonds. Total diamond weight is 1/3 ctw.
FP1360,FP1360,Silver Diamond Pendant 1/6 ctw,100,200,104,"A simple Silver Diamond pendant set with 22 round-cut diamonds, totaling 1/6 ctw."
FP1361,FP1361,Silver Diamond Pendant 1/2 ctw,250,629,66,This Silver Diamond triangle pendant is set with 59 round-cut sparkling diamonds. Total diamond weight is 1/2 ctw.
FP1362,FP1362,Silver Diamond Pendant 1/4 ctw,150,379,44,A classic Diamond Arrow pendant crafted from Silver and set with 1/4 ctw of diamonds.
FP1363,FP1363,Silver Diamond Pendant 1/10 ctw,75,189,129,"A simple Silver Diamond pendant set with 10 round-cut diamonds, totaling 1/10 ctw."
FP1367,FP1367,Silver Pendant White,45,129,123,"Show some love with this gorgeous Silver heart-shaped diamond studded pendant. Set with 10 diamonds, totaling 1/10 ctw."
FP1367R,FP1367R,Silver Pendant Rose,45,129,65,"Show some love with this gorgeous Rose Silver heart-shaped diamond studded pendant. Set with 10 diamonds, totaling 1/10 ctw."
FP1367Y,FP1367Y,Silver Pendant Yellow,45,129,94,"Show some love with this gorgeous Yellow Silver heart-shaped diamond studded pendant. Set with 10 diamonds, totaling 1/10 ctw."
FP1368,FP1368,Silver Pendant,36,99,91,This timeless silver pendant necklace is set with sparkling CZ gemstones.
FP1369,FP1369,Silver Cross Pendant,45,99,48,This silver cross pendant is studded with CZ gemstones and set on a silver link chain.
FP1370,FP1370,Silver Bar Pendant,27,69,4,A simple silver bar pendant perfect for everyday wear.
FP1371,FP1371,Silver Pendant,68,169,122,A simple silver pendant perfect for everyday wear.
FP1372,FP1372,Silver Pendant,45,119,33,This Sterling Silver pendant features a criss-cross design and is set with CZ gemstones.
FP1373R,FP1373R,Silver Pendant Rose,30,59,79,"A simple Rose bar pendant crafted from Sterling Silver, perfect for everyday wear."
FP1374,FP1374,Silver Pendant,58,149,25,This floral inspired fashion pendant is crafted from Sterling Silver and set with CZ gemstones.
FP1375,FP1375,Silver Pendant,91,229,59,This floral inspired fashion pendant is crafted from Sterling Silver and set with CZ gemstones.
FP1404R,FP1404R,10K Diamond Lariat Pendant 1/4 ctw,350,879,12,"This delicate lariat necklace is crafted from 10K Rose Gold and set with 42 round-cut diamonds, totaling 1/4 ctw."
FP1405Y,FP1405Y,10K Diamond Lariat Pendant,250,629,52,"This delicate lariat necklace is crafted from 10K Yellow Gold and set with 24 round-cut diamonds, weighing 1/12 ctw."
FP1406,FP1406,Silver Diamond Lariat Pendant 1/7 ctw,150,379,9,"This delicate lariat necklace is crafted from Sterling Silver and set with 24 round-cut diamonds, weighing 1/6 ctw."
FP1407,FP1407,10K Diamond Lariat Pendant 1/10 ctw,250,629,88,"This delicate lariat necklace is crafted from 10K White Gold and set with 25 round-cut diamonds, weighing 1/10 ctw."
FP1408,FP1408,Silver Diamond Pendant 1/10 ctw,100,249,96,"This delicate lariat necklace is crafted from Silver and set with 14 round-cut diamonds, weighing 1/10 ctw."
FP1409,FP1409,Silver Heart Pendant,35,89,361,"Perfect for everyday wear, this simple heart pendant is crafted from Sterling Silver."
FP1410,FP1410,Silver CZ Cross Pendant,27,69,424,This silver cross pendant is studded with CZ gemstones and set on a beaded silver chain.
FP1411,FP1411,Silver Pendant,30,79,43,This round pendant necklace is set with CZ gemstones on a Silver link chain.
FP1412,FP1412,Silver Pendant,45,109,54,This Silver pear-shaped pendant necklace is set with CZ gemstones on a classic link chain.
FP1413,FP1413,Silver Pendant,60,149,26,This Silver cushion pendant necklace is set with CZ gemstones on a classic link chain.
FP1414R,FP1414R,Silver Bolo Necklace Rose,115,289,40,A bolo cross necklace crafted from Rose-colored silver and set with CZ gemstones.
FP1415,FP1415,Silver Oval Bolo Neckalce,90,229,73,A bolo necklace crafted from Sterling Silver and set with CZ gemstones.
FP1416,FP1416,Silver Heart Bolo Necklace,90,229,48,A bolo heart necklace crafted from Sterling Silver and set with CZ gemstones.
FP1417,FP1417,Silver Round Bolo Necklace,90,229,58,A bolo round pendant necklace crafted from Sterling Silver and set with CZ gemstones.
FP1418Y,FP1418Y,Silver Heart Bolo Pendant Yellow,115,289,52,A bolo heart necklace crafted from Yellow Sterling Silver and set with CZ gemstones.
FP1420/10,FP1420/10,14KW Diamond Pendants 1/10 ctw,125,249.9,26,"This simple diamond pendant necklace is fashioned from 14K White Gold and set with a single diamond, weighing 1/10 ctw."
FP1420/25,FP1420/25,14KW Diamond Pendants 1/4 ctw,300,599.76,58,"This simple diamond pendant necklace is fashioned from 14K White Gold and set with a single diamond, weighing 1/4 ctw."
FP1420/50,FP1420/50,14KW Diamond Pendants 1/2 ctw,850,1699.32,32,"This simple diamond pendant necklace is fashioned from 14K White Gold and set with a single diamond, weighing 1/2 ctw."
FP1421/100,FP1421/100,14KW Diamond Pendants 1 ctw,1500,3749,22,"This elegant 14K White Gold diamond square pendant is set with 20 round-cut diamonds, totaling 1 ctw."
FP1421/50,FP1421/50,14KW Diamond Pendants 1/2 ctw,750,1499.4,44,"This elegant 14K White Gold diamond pendant is set with 20 round-cut diamonds, totaling 1/2 ctw."
FP1421/75,FP1421/75,14KW Diamond Pendants 3/4 ctw,1000,2449,65,"This elegant 14K White Gold diamond square pendant is set with 20 round-cut diamonds, totaling 3/4 ctw."
FP1422/100,FP1422/100,14KW Diamond Pendants 1 ctw,1500,2998.8,45,"This elegant 14K White Gold diamond square pendant is set with 24 round-cut diamonds, totaling 1 ctw."
FP1422/25,FP1422/25,14K Diamond Pendant 1/4 ctw,350,699.72,14,"This elegant 14K White Gold diamond square pendant is set with 24 round-cut diamonds, totaling 1/4 ctw."
FP1422/50,FP1422/50,14KW Diamond Pendants 1/2 ctw,750,1499.4,45,"This elegant 14K White Gold diamond square pendant is set with 24 round-cut diamonds, totaling 1/2 ctw."
FP1422/75,FP1422/75,14KW Diamond Pendants 3/4 ctw,1000,1999.2,32,"This elegant 14K White Gold diamond square pendant is set with 24 round-cut diamonds, totaling 3/4 ctw."
FP1425/10,FP1425/10,14KW Diamond Pendants 1/10 ctw,125,325,43,"This elegant 14K White Gold diamond pendant is set with 4 round-cut diamonds, totaling 1/10 ctw."
FP1425/25,FP1425/25,14KW Diamond Pendants 1/4 ctw,250,625,74,"This elegant 14K White Gold diamond pendant is set with 4 round-cut diamonds, totaling 1/4 ctw."
FP1425/50,FP1425/50,14KW Diamond Pendants 1/2 ctw,700,1399.44,107,"This elegant 14K White Gold diamond pendant is set with 4 round-cut diamonds, totaling 1/2 ctw."
FP1429,FP1429,Silver Necklace,95,190,2,"An on-trend piece, this Silver Necklace is set with 2 dangling tassels."
FP1430,FP1430,Silver Necklace,185,370,6,"An on-trend piece, this Silver Necklace is set with 2 dangling tassels."
FP1430P,FP1430P,Silver Necklace Rose,185,370,3,"An on-trend piece, this Rose Silver Necklace is set with 2 dangling tassels."
FP1430Y,FP1430Y,Silver Necklace Yellow,185,370,23,"An on-trend piece, this Yellow Silver Necklace is set with 2 dangling tassels."
FP4015EWB,FP4015EWB,14K Emerald & Diamond Pendant,275,549,2,"Brilliant in every way, this Emerald and Diamond pendant features a rich Emerald accented by 19 sparkling micropave set diamonds in 14K White Gold. 1/10 ctw."
FP4015RWB,FP4015RWB,14K Ruby & Diamond Pendant,275,549,3,"Brilliant in every way, this Ruby and Diamond pendant features a rich Ruby accented by 19 sparkling micropave set diamonds in 14K White Gold. 1/10 ctw."
